"date","rate","reverseRate","isoCode","wasMissing"
"2021-07-29T00:00:00.000Z","3.23711","3.08918","BRL",
"2021-07-28T00:00:00.000Z","3.20991","3.11535","BRL",
"2021-07-27T00:00:00.000Z","3.19121","3.13361","BRL",
"2021-07-26T00:00:00.000Z","3.17783","3.1468","BRL",
"2021-07-25T00:00:00.000Z","3.20581","3.11934","BRL",1
"2021-07-24T00:00:00.000Z","3.20581","3.11934","BRL",1
"2021-07-23T00:00:00.000Z","3.20581","3.11934","BRL",
"2021-07-22T00:00:00.000Z","3.20476","3.12036","BRL",
"2021-07-21T00:00:00.000Z","3.16826","3.15631","BRL",
"2021-07-20T00:00:00.000Z","3.17335","3.15124","BRL",
"2021-07-19T00:00:00.000Z","3.21614","3.10932","BRL",
"2021-07-18T00:00:00.000Z","3.2518","3.07522","BRL",1
"2021-07-17T00:00:00.000Z","3.2518","3.07522","BRL",1
"2021-07-16T00:00:00.000Z","3.2518","3.07522","BRL",
"2021-07-15T00:00:00.000Z","3.25565","3.07158","BRL",
"2021-07-14T00:00:00.000Z","3.22792","3.09797","BRL",
"2021-07-13T00:00:00.000Z","3.18975","3.13504","BRL",
"2021-07-12T00:00:00.000Z","3.13304","3.19179","BRL",
"2021-07-11T00:00:00.000Z","3.1359","3.18888","BRL",1
"2021-07-10T00:00:00.000Z","3.1359","3.18888","BRL",1
"2021-07-09T00:00:00.000Z","3.1359","3.18888","BRL",
"2021-07-08T00:00:00.000Z","3.13118","3.19368","BRL",
"2021-07-07T00:00:00.000Z","3.19455","3.13033","BRL",
"2021-07-06T00:00:00.000Z","3.24393","3.08268","BRL",
"2021-07-05T00:00:00.000Z","3.25597","3.07128","BRL",
"2021-07-04T00:00:00.000Z","3.29148","3.03815","BRL",1
"2021-07-03T00:00:00.000Z","3.29148","3.03815","BRL",1
"2021-07-02T00:00:00.000Z","3.29148","3.03815","BRL",
"2021-07-01T00:00:00.000Z","3.3175","3.01432","BRL",
"2021-06-30T00:00:00.000Z","3.31216","3.01918","BRL",
"2021-06-29T00:00:00.000Z","3.32477","3.00773","BRL",
"2021-06-28T00:00:00.000Z","3.30606","3.02475","BRL",
"2021-06-27T00:00:00.000Z","3.3356","2.99796","BRL",1
"2021-06-26T00:00:00.000Z","3.3356","2.99796","BRL",1
"2021-06-25T00:00:00.000Z","3.3356","2.99796","BRL",
"2021-06-24T00:00:00.000Z","3.31266","3.01872","BRL",
"2021-06-23T00:00:00.000Z","3.3036","3.027","BRL",
"2021-06-22T00:00:00.000Z","3.27709","3.05149","BRL",
"2021-06-21T00:00:00.000Z","3.24932","3.07757","BRL",
"2021-06-20T00:00:00.000Z","3.28297","3.04602","BRL",1
"2021-06-19T00:00:00.000Z","3.28297","3.04602","BRL",1
"2021-06-18T00:00:00.000Z","3.28297","3.04602","BRL",
"2021-06-17T00:00:00.000Z","3.24425","3.08238","BRL",
"2021-06-16T00:00:00.000Z","3.20297","3.1221","BRL",
"2021-06-15T00:00:00.000Z","3.1857","3.13903","BRL",
"2021-06-14T00:00:00.000Z","3.16242","3.16214","BRL",
"2021-06-13T00:00:00.000Z","3.17608","3.14854","BRL",1
"2021-06-12T00:00:00.000Z","3.17608","3.14854","BRL",1
"2021-06-11T00:00:00.000Z","3.17608","3.14854","BRL",
"2021-06-10T00:00:00.000Z","3.18373","3.14097","BRL",
"2021-06-09T00:00:00.000Z","3.18825","3.13652","BRL",
"2021-06-08T00:00:00.000Z","3.19059","3.13422","BRL",
"2021-06-07T00:00:00.000Z","3.18596","3.13877","BRL",
"2021-06-06T00:00:00.000Z","3.16099","3.16357","BRL",1
"2021-06-05T00:00:00.000Z","3.16099","3.16357","BRL",1
"2021-06-04T00:00:00.000Z","3.16099","3.16357","BRL",
"2021-06-03T00:00:00.000Z","3.15997","3.16459","BRL",
"2021-06-02T00:00:00.000Z","3.10987","3.21557","BRL",
"2021-06-01T00:00:00.000Z","3.0754","3.25161","BRL",
"2021-05-31T00:00:00.000Z","3.0623","3.26552","BRL",
"2021-05-30T00:00:00.000Z","3.06345","3.26429","BRL",1
"2021-05-29T00:00:00.000Z","3.06345","3.26429","BRL",1
"2021-05-28T00:00:00.000Z","3.06345","3.26429","BRL",
"2021-05-27T00:00:00.000Z","3.02372","3.30718","BRL",
"2021-05-26T00:00:00.000Z","3.00869","3.32371","BRL",
"2021-05-25T00:00:00.000Z","3.01036","3.32186","BRL",
"2021-05-24T00:00:00.000Z","3.02629","3.30438","BRL",1
"2021-05-23T00:00:00.000Z","3.02629","3.30438","BRL",1
"2021-05-22T00:00:00.000Z","3.02629","3.30438","BRL",1
"2021-05-21T00:00:00.000Z","3.02629","3.30438","BRL",
"2021-05-20T00:00:00.000Z","3.02915","3.30126","BRL",
"2021-05-19T00:00:00.000Z","3.03135","3.29886","BRL",
"2021-05-18T00:00:00.000Z","3.05193","3.27662","BRL",
"2021-05-17T00:00:00.000Z","3.03865","3.29094","BRL",
"2021-05-16T00:00:00.000Z","3.05876","3.2693","BRL",1
"2021-05-15T00:00:00.000Z","3.05876","3.2693","BRL",1
"2021-05-14T00:00:00.000Z","3.05876","3.2693","BRL",
"2021-05-13T00:00:00.000Z","3.0547","3.27364","BRL",
"2021-05-12T00:00:00.000Z","3.08053","3.24619","BRL",
"2021-05-11T00:00:00.000Z","3.07637","3.25058","BRL",
