"date","rate","reverseRate","isoCode","wasMissing"
"2000-12-29T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-28T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-27T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-26T00:00:00.000Z","0.573978","174.223","GRD",1
"2000-12-25T00:00:00.000Z","0.573978","174.223","GRD",1
"2000-12-24T00:00:00.000Z","0.573978","174.223","GRD",1
"2000-12-23T00:00:00.000Z","0.573978","174.223","GRD",1
"2000-12-22T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-21T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-20T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-19T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-18T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-17T00:00:00.000Z","0.573978","174.223","GRD",1
"2000-12-16T00:00:00.000Z","0.573978","174.223","GRD",1
"2000-12-15T00:00:00.000Z","0.573978","174.223","GRD",
"2000-12-14T00:00:00.000Z","0.573995","174.218","GRD",
"2000-12-13T00:00:00.000Z","0.574029","174.207","GRD",
"2000-12-12T00:00:00.000Z","0.573995","174.218","GRD",
"2000-12-11T00:00:00.000Z","0.574012","174.212","GRD",
"2000-12-10T00:00:00.000Z","0.574096","174.187","GRD",1
"2000-12-09T00:00:00.000Z","0.574096","174.187","GRD",1
"2000-12-08T00:00:00.000Z","0.574096","174.187","GRD",
"2000-12-07T00:00:00.000Z","0.57413","174.177","GRD",
"2000-12-06T00:00:00.000Z","0.574231","174.146","GRD",
"2000-12-05T00:00:00.000Z","0.574281","174.131","GRD",
"2000-12-04T00:00:00.000Z","0.574231","174.146","GRD",
"2000-12-03T00:00:00.000Z","0.574281","174.131","GRD",1
"2000-12-02T00:00:00.000Z","0.574281","174.131","GRD",1
"2000-12-01T00:00:00.000Z","0.574281","174.131","GRD",
"2000-11-30T00:00:00.000Z","0.574332","174.115","GRD",
"2000-11-29T00:00:00.000Z","0.574433","174.085","GRD",
"2000-11-28T00:00:00.000Z","0.574534","174.054","GRD",
"2000-11-27T00:00:00.000Z","0.574653","174.018","GRD",
"2000-11-26T00:00:00.000Z","0.574703","174.003","GRD",1
"2000-11-25T00:00:00.000Z","0.574703","174.003","GRD",1
"2000-11-24T00:00:00.000Z","0.574703","174.003","GRD",
"2000-11-23T00:00:00.000Z","0.574838","173.962","GRD",
"2000-11-22T00:00:00.000Z","0.574923","173.936","GRD",
"2000-11-21T00:00:00.000Z","0.574838","173.962","GRD",
"2000-11-20T00:00:00.000Z","0.574906","173.941","GRD",
"2000-11-19T00:00:00.000Z","0.574906","173.941","GRD",1
"2000-11-18T00:00:00.000Z","0.574906","173.941","GRD",1
"2000-11-17T00:00:00.000Z","0.574906","173.941","GRD",
"2000-11-16T00:00:00.000Z","0.574974","173.921","GRD",
"2000-11-15T00:00:00.000Z","0.575024","173.906","GRD",
"2000-11-14T00:00:00.000Z","0.57499","173.916","GRD",
"2000-11-13T00:00:00.000Z","0.57499","173.916","GRD",
"2000-11-12T00:00:00.000Z","0.575075","173.89","GRD",1
"2000-11-11T00:00:00.000Z","0.575075","173.89","GRD",1
"2000-11-10T00:00:00.000Z","0.575075","173.89","GRD",
"2000-11-09T00:00:00.000Z","0.575126","173.875","GRD",
"2000-11-08T00:00:00.000Z","0.575176","173.86","GRD",
"2000-11-07T00:00:00.000Z","0.575227","173.844","GRD",
"2000-11-06T00:00:00.000Z","0.575244","173.839","GRD",
"2000-11-05T00:00:00.000Z","0.575413","173.788","GRD",1
"2000-11-04T00:00:00.000Z","0.575413","173.788","GRD",1
"2000-11-03T00:00:00.000Z","0.575413","173.788","GRD",
"2000-11-02T00:00:00.000Z","0.575566","173.742","GRD",
"2000-11-01T00:00:00.000Z","0.575735","173.691","GRD",
"2000-10-31T00:00:00.000Z","0.575837","173.66","GRD",
"2000-10-30T00:00:00.000Z","0.575888","173.645","GRD",
"2000-10-29T00:00:00.000Z","0.575956","173.624","GRD",1
"2000-10-28T00:00:00.000Z","0.575956","173.624","GRD",1
"2000-10-27T00:00:00.000Z","0.575956","173.624","GRD",
"2000-10-26T00:00:00.000Z","0.576006","173.609","GRD",
"2000-10-25T00:00:00.000Z","0.576108","173.579","GRD",
