"date","rate","reverseRate","isoCode","wasMissing"
"2004-12-31T00:00:00.000Z","0.106515","938835","TRL",
"2004-12-30T00:00:00.000Z","0.106934","935156","TRL",
"2004-12-29T00:00:00.000Z","0.105749","945635","TRL",
"2004-12-28T00:00:00.000Z","0.106255","941132","TRL",
"2004-12-27T00:00:00.000Z","0.106588","938192","TRL",
"2004-12-26T00:00:00.000Z","0.105368","949055","TRL",1
"2004-12-25T00:00:00.000Z","0.105368","949055","TRL",1
"2004-12-24T00:00:00.000Z","0.105368","949055","TRL",1
"2004-12-23T00:00:00.000Z","0.105368","949055","TRL",
"2004-12-22T00:00:00.000Z","0.105141","951104","TRL",
"2004-12-21T00:00:00.000Z","0.105039","952027","TRL",
"2004-12-20T00:00:00.000Z","0.105401","948758","TRL",
"2004-12-19T00:00:00.000Z","0.104921","953098","TRL",1
"2004-12-18T00:00:00.000Z","0.104921","953098","TRL",1
"2004-12-17T00:00:00.000Z","0.104921","953098","TRL",
"2004-12-16T00:00:00.000Z","0.104028","961280","TRL",
"2004-12-15T00:00:00.000Z","0.103041","970487","TRL",
"2004-12-14T00:00:00.000Z","0.103308","967979","TRL",
"2004-12-13T00:00:00.000Z","0.103014","970742","TRL",
"2004-12-12T00:00:00.000Z","0.103156","969406","TRL",1
"2004-12-11T00:00:00.000Z","0.103156","969406","TRL",
"2004-12-10T00:00:00.000Z","0.103156","969406","TRL",
"2004-12-09T00:00:00.000Z","0.102271","977794","TRL",
"2004-12-08T00:00:00.000Z","0.103945","962047","TRL",
"2004-12-07T00:00:00.000Z","0.103984","961686","TRL",
"2004-12-06T00:00:00.000Z","0.104128","960356","TRL",
"2004-12-05T00:00:00.000Z","0.103895","962510","TRL",1
"2004-12-04T00:00:00.000Z","0.103895","962510","TRL",1
"2004-12-03T00:00:00.000Z","0.103895","962510","TRL",
"2004-12-02T00:00:00.000Z","0.103445","966697","TRL",
"2004-12-01T00:00:00.000Z","0.103461","966548","TRL",
"2004-11-30T00:00:00.000Z","0.102949","971355","TRL",
"2004-11-29T00:00:00.000Z","0.103107","969866","TRL",
"2004-11-28T00:00:00.000Z","0.103538","965829","TRL",1
"2004-11-27T00:00:00.000Z","0.103538","965829","TRL",1
"2004-11-26T00:00:00.000Z","0.103538","965829","TRL",
"2004-11-25T00:00:00.000Z","0.103428","966856","TRL",
"2004-11-24T00:00:00.000Z","0.104194","959748","TRL",
"2004-11-23T00:00:00.000Z","0.104117","960458","TRL",
"2004-11-22T00:00:00.000Z","0.1042","959693","TRL",
"2004-11-21T00:00:00.000Z","0.104233","959389","TRL",1
"2004-11-20T00:00:00.000Z","0.104233","959389","TRL",1
"2004-11-19T00:00:00.000Z","0.104233","959389","TRL",
"2004-11-18T00:00:00.000Z","0.103917","962306","TRL",
"2004-11-17T00:00:00.000Z","0.103314","967923","TRL",
"2004-11-16T00:00:00.000Z","0.103445","966697","TRL",
"2004-11-15T00:00:00.000Z","0.103785","963530","TRL",
"2004-11-14T00:00:00.000Z","0.103956","961945","TRL",1
"2004-11-13T00:00:00.000Z","0.103956","961945","TRL",1
"2004-11-12T00:00:00.000Z","0.103956","961945","TRL",
"2004-11-11T00:00:00.000Z","0.103857","962862","TRL",
"2004-11-10T00:00:00.000Z","0.103604","965214","TRL",
"2004-11-09T00:00:00.000Z","0.103791","963475","TRL",
"2004-11-08T00:00:00.000Z","0.104028","961280","TRL",
"2004-11-07T00:00:00.000Z","0.104244","959288","TRL",1
"2004-11-06T00:00:00.000Z","0.104244","959288","TRL",1
"2004-11-05T00:00:00.000Z","0.104244","959288","TRL",
"2004-11-04T00:00:00.000Z","0.103824","963168","TRL",
"2004-11-03T00:00:00.000Z","0.104724","954891","TRL",
"2004-11-02T00:00:00.000Z","0.104378","958056","TRL",
"2004-11-01T00:00:00.000Z","0.104055","961030","TRL",
"2004-10-31T00:00:00.000Z","0.104166","960006","TRL",1
"2004-10-30T00:00:00.000Z","0.104166","960006","TRL",1
"2004-10-29T00:00:00.000Z","0.104166","960006","TRL",
"2004-10-28T00:00:00.000Z","0.104328","958515","TRL",
"2004-10-27T00:00:00.000Z","0.103489","966286","TRL",
"2004-10-26T00:00:00.000Z","0.103183","969152","TRL",
"2004-10-25T00:00:00.000Z","0.103642","964860","TRL",
"2004-10-24T00:00:00.000Z","0.104782","954362","TRL",1
"2004-10-23T00:00:00.000Z","0.104782","954362","TRL",1
"2004-10-22T00:00:00.000Z","0.104782","954362","TRL",
"2004-10-21T00:00:00.000Z","0.104534","956627","TRL",
"2004-10-20T00:00:00.000Z","0.104489","957039","TRL",
"2004-10-19T00:00:00.000Z","0.106099","942516","TRL",
"2004-10-18T00:00:00.000Z","0.105835","944867","TRL",
"2004-10-17T00:00:00.000Z","0.105761","945528","TRL",1
"2004-10-16T00:00:00.000Z","0.105761","945528","TRL",1
"2004-10-15T00:00:00.000Z","0.105761","945528","TRL",
"2004-10-14T00:00:00.000Z","0.106042","943023","TRL",
"2004-10-13T00:00:00.000Z","0.107198","932853","TRL",
"2004-10-12T00:00:00.000Z","0.106139","942161","TRL",
"2004-10-11T00:00:00.000Z","0.105612","946862","TRL",
"2004-10-10T00:00:00.000Z","0.105978","943592","TRL",1
"2004-10-09T00:00:00.000Z","0.105978","943592","TRL",1
"2004-10-08T00:00:00.000Z","0.105978","943592","TRL",
"2004-10-07T00:00:00.000Z","0.105738","945734","TRL",
"2004-10-06T00:00:00.000Z","0.105761","945528","TRL",
"2004-10-05T00:00:00.000Z","0.105566","947275","TRL",
"2004-10-04T00:00:00.000Z","0.105197","950597","TRL",
"2004-10-03T00:00:00.000Z","0.104567","956325","TRL",1
"2004-10-02T00:00:00.000Z","0.104567","956325","TRL",1
"2004-10-01T00:00:00.000Z","0.104567","956325","TRL",
"2004-09-30T00:00:00.000Z","0.104949","952844","TRL",
"2004-09-29T00:00:00.000Z","0.105532","947580","TRL",
"2004-09-28T00:00:00.000Z","0.105578","947167","TRL",
"2004-09-27T00:00:00.000Z","0.106684","937348","TRL",
"2004-09-26T00:00:00.000Z","0.106185","941753","TRL",1
"2004-09-25T00:00:00.000Z","0.106185","941753","TRL",1
"2004-09-24T00:00:00.000Z","0.106185","941753","TRL",
"2004-09-23T00:00:00.000Z","0.106185","941753","TRL",
"2004-09-22T00:00:00.000Z","0.104846","953780","TRL",1
"2004-09-21T00:00:00.000Z","0.104846","953780","TRL",
"2004-09-20T00:00:00.000Z","0.105209","950489","TRL",
"2004-09-19T00:00:00.000Z","0.105875","944510","TRL",1
