"date","rate","reverseRate","isoCode","wasMissing"
"2021-05-12T00:00:00.000Z","1.61399","0.619583","USD",
"2021-05-11T00:00:00.000Z","1.60709","0.622243","USD",
"2021-05-10T00:00:00.000Z","1.60722","0.622192","USD",
"2021-05-09T00:00:00.000Z","1.62188","0.616568","USD",1
"2021-05-08T00:00:00.000Z","1.62188","0.616568","USD",1
"2021-05-07T00:00:00.000Z","1.62188","0.616568","USD",
"2021-05-06T00:00:00.000Z","1.62918","0.613806","USD",1
"2021-05-05T00:00:00.000Z","1.62918","0.613806","USD",
"2021-05-04T00:00:00.000Z","1.61252","0.620147","USD",1
"2021-05-03T00:00:00.000Z","1.61252","0.620147","USD",1
"2021-05-02T00:00:00.000Z","1.61252","0.620147","USD",1
"2021-05-01T00:00:00.000Z","1.61252","0.620147","USD",1
"2021-04-30T00:00:00.000Z","1.61252","0.620147","USD",1
"2021-04-29T00:00:00.000Z","1.61252","0.620147","USD",
"2021-04-28T00:00:00.000Z","1.62041","0.617128","USD",
"2021-04-27T00:00:00.000Z","1.61799","0.618051","USD",
"2021-04-26T00:00:00.000Z","1.61839","0.617898","USD",
"2021-04-25T00:00:00.000Z","1.62094","0.616926","USD",1
"2021-04-24T00:00:00.000Z","1.62094","0.616926","USD",1
"2021-04-23T00:00:00.000Z","1.62094","0.616926","USD",
"2021-04-22T00:00:00.000Z","1.62363","0.615904","USD",
"2021-04-21T00:00:00.000Z","1.62891","0.613907","USD",
"2021-04-20T00:00:00.000Z","1.62296","0.616158","USD",
"2021-04-19T00:00:00.000Z","1.62512","0.615339","USD",
"2021-04-18T00:00:00.000Z","1.63176","0.612835","USD",1
"2021-04-17T00:00:00.000Z","1.63176","0.612835","USD",1
"2021-04-16T00:00:00.000Z","1.63176","0.612835","USD",
"2021-04-15T00:00:00.000Z","1.63394","0.612018","USD",
"2021-04-14T00:00:00.000Z","1.63476","0.611711","USD",
"2021-04-13T00:00:00.000Z","1.64411","0.608232","USD",
"2021-04-12T00:00:00.000Z","1.643","0.608643","USD",
"2021-04-11T00:00:00.000Z","1.64521","0.607825","USD",1
"2021-04-10T00:00:00.000Z","1.64521","0.607825","USD",1
"2021-04-09T00:00:00.000Z","1.64521","0.607825","USD",
"2021-04-08T00:00:00.000Z","1.64729","0.607058","USD",
"2021-04-07T00:00:00.000Z","1.64577","0.607618","USD",
"2021-04-06T00:00:00.000Z","1.6558","0.603938","USD",
"2021-04-05T00:00:00.000Z","1.6651","0.600565","USD",
"2021-04-04T00:00:00.000Z","1.6651","0.600565","USD",1
"2021-04-03T00:00:00.000Z","1.6651","0.600565","USD",1
"2021-04-02T00:00:00.000Z","1.6651","0.600565","USD",
"2021-04-01T00:00:00.000Z","1.6651","0.600565","USD",
"2021-03-31T00:00:00.000Z","1.66809","0.599488","USD",
"2021-03-30T00:00:00.000Z","1.66581","0.600309","USD",
"2021-03-29T00:00:00.000Z","1.65973","0.602508","USD",
"2021-03-28T00:00:00.000Z","1.66002","0.602402","USD",1
"2021-03-27T00:00:00.000Z","1.66002","0.602402","USD",1
"2021-03-26T00:00:00.000Z","1.66002","0.602402","USD",
"2021-03-25T00:00:00.000Z","1.6572","0.603427","USD",
"2021-03-24T00:00:00.000Z","1.65398","0.604602","USD",
"2021-03-23T00:00:00.000Z","1.64591","0.607567","USD",
"2021-03-22T00:00:00.000Z","1.63997","0.609767","USD",
"2021-03-21T00:00:00.000Z","1.6448","0.607977","USD",1
"2021-03-20T00:00:00.000Z","1.6448","0.607977","USD",1
"2021-03-19T00:00:00.000Z","1.6448","0.607977","USD",
"2021-03-18T00:00:00.000Z","1.6419","0.60905","USD",
"2021-03-17T00:00:00.000Z","1.64259","0.608795","USD",
"2021-03-16T00:00:00.000Z","1.63997","0.609767","USD",
"2021-03-15T00:00:00.000Z","1.6408","0.609459","USD",
"2021-03-14T00:00:00.000Z","1.63901","0.610124","USD",1
"2021-03-13T00:00:00.000Z","1.63901","0.610124","USD",1
"2021-03-12T00:00:00.000Z","1.63901","0.610124","USD",
"2021-03-11T00:00:00.000Z","1.63408","0.611965","USD",
"2021-03-10T00:00:00.000Z","1.64466","0.608028","USD",
"2021-03-09T00:00:00.000Z","1.64438","0.608132","USD",
"2021-03-08T00:00:00.000Z","1.64826","0.6067","USD",
